# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QaoaXorsat.jl composite-best.csv + MaxCut sweep results
# Format: k,D,p,ctilde,source,gamma,beta
# gamma and beta fields use ; as separator for multiple depth values
# MaxCut (k=2) uses clause_sign = -1; XORSAT (k≥3) uses clause_sign = +1
#
# MaxCut k=2 D=3 (Farhi et al. benchmark)
2,3,1,0.692450089730,maxcut-sweep,5.667705597838953,1.1780972446407532
2,3,2,0.755906458453,maxcut-sweep,5.795349776168324;5.385346119545786,1.015892138504357;1.2784155862306108
2,3,3,0.792398428764,maxcut-sweep,5.861324174344106;5.484782833783722;5.346204687814105,0.9618461195642161;1.111228608298698;1.3351261502674405
2,3,4,0.816876564852,maxcut-sweep,0.40875163344863025;0.7805692436859955;4.129628002144843;1.1569072806957377,0.5995603245328763;0.4343423847622496;2.8448343597779093;2.982557167554602
2,3,5,0.836380825133,maxcut-sweep,0.3592363060975832;0.7060862750064418;3.9636826850412987;1.0041968913538435;1.1539363247191332,0.6316660343543729;0.522527447513126;2.7514541578251666;2.8656004309636263;2.992297104635885
2,3,6,0.849897134598,maxcut-sweep,0.3313756342298394;0.645582866520346;3.873249351917837;0.8369643451188868;1.0101915704484967;1.1272229962333176,0.6358917626661583;0.5344342903916071;2.6782535737803643;2.781592925812735;2.883004655217949;3.0027480168112133
2,3,7,0.859784227119,maxcut-sweep,0.3096744905138337;0.6167832344484656;3.829799676392745;0.7500055947881094;0.857388933772753;1.0211898985348407;1.1257762948182763,0.6475939100926483;0.5530707323613298;2.652309854511443;2.696845693498304;2.800853307630286;2.8972493224075837;3.0103692525354258
2,3,8,0.867392581017,maxcut-sweep,0.2929989294305429;0.586200309266824;3.796793418056438;0.7080842960560528;0.7643982693119217;0.8650643411600664;1.0270893920454354;1.1165150876577654,0.649247424751406;0.5555657884785202;2.6403879554558523;2.672578286029395;2.7214082190502555;2.8221419988348364;2.9106823941664532;3.0187570511442723
#
# Max-3-XORSAT k=3 D=4 (primary target for arXiv:2604.24633)
3,4,1,0.676056660061,composite-best,3.6916431695847245,0.28737134801591857
3,4,2,0.739122784672,composite-best,2.7191318368502895;3.862785932585072,1.9343887453498883;0.2114574029218259
3,4,3,0.777144062579,composite-best,2.780197925127931;3.7658412617389994;3.870022135985064,1.9545683188631753;0.2954713531707407;0.17591776293047443
3,4,4,0.802204018074,composite-best,2.8172819068676733;3.7051754105795225;3.7832333095634487;3.8748789344321706,1.9578962937903273;0.3147950782521779;0.2661397412915824;0.15295439890593493
3,4,5,0.820480966926,composite-best,2.8421234091124763;3.6699133130449324;3.7264530288133795;3.7894212120886954;3.8795683897907236,1.9596364987761499;0.32072702744696546;0.2857074028313304;0.24670634737525182;0.13540521489637944
3,4,6,0.834391132449,composite-best,2.860654665197588;0.5008281205560724;0.5512541738168453;0.5907501621225486;0.649547981341222;0.7420169968255372,1.9594372981900812;0.3216989018517114;0.2950087377069046;0.2695906631889056;0.23127252056018427;0.12222497052653626
3,4,7,0.845313272926,composite-best,2.875635321973785;0.4795818271809037;0.5264329559852897;0.5558766990522427;0.5904077158469673;0.6496580773808265;0.7444342940999583,1.9586630012498856;0.3212878249385136;0.29692053605428864;0.28269898594839143;0.2579663953753847;0.21905623573339109;0.11247603572828939
3,4,8,0.854102061491,composite-best,2.887846412048007;3.6036004816993925;3.6490135224270133;3.674108994302764;3.6947527601684884;3.729638165239509;3.7905300845962246;3.8868988139570297,1.957501856629606;0.3196512685101759;0.2968096150915321;0.2861177426673958;0.2739567697134378;0.24890343584452104;0.20913006806116077;0.10499921373154052
#
# Max-3-XORSAT k=3 D=5
3,5,1,0.655445198972,composite-best,3.628989454747739,2.8536248282575563
3,5,2,0.711560547762,composite-best,3.5146841552202623;3.7701534857983696,2.7827614884116034;0.21005189805844404
3,5,3,0.745876655551,composite-best,3.4612918537034756;3.6846184249663265;3.7684982222732835,2.76173569076017;0.2873656381552346;2.968208280791426
3,5,4,0.768844090898,composite-best,3.4283617154390975;3.6322911614051923;3.694661556411525;3.770110002482808,2.7572508258653294;0.308892892818878;2.884743355584691;0.14969365392800738
